,order_id,product_id,unit_price,quantity,discount
0,10248,11,14.0,12,0.0
1,10248,42,9.8,10,0.0
2,10248,72,34.8,5,0.0
3,10249,14,18.6,9,0.0
4,10249,51,42.4,40,0.0
5,10250,41,7.7,10,0.0
6,10250,51,42.4,35,0.15
7,10250,65,16.8,15,0.15
8,10251,22,16.8,6,0.05
9,10251,57,15.6,15,0.05
10,10251,65,16.8,20,0.0
11,10252,20,64.8,40,0.05
12,10252,33,2.0,25,0.05
13,10252,60,27.2,40,0.0
14,10253,31,10.0,20,0.0
15,10253,39,14.4,42,0.0
16,10253,49,16.0,40,0.0
17,10254,24,3.6,15,0.15
18,10254,55,19.2,21,0.15
19,10254,74,8.0,21,0.0
20,10255,2,15.2,20,0.0
21,10255,16,13.9,35,0.0
22,10255,36,15.2,25,0.0
23,10255,59,44.0,30,0.0
24,10256,53,26.2,15,0.0
25,10256,77,10.4,12,0.0
26,10257,27,35.1,25,0.0
27,10257,39,14.4,6,0.0
28,10257,77,10.4,15,0.0
29,10258,2,15.2,50,0.2
30,10258,5,17.0,65,0.2
31,10258,32,25.6,6,0.2
32,10259,21,8.0,10,0.0
33,10259,37,20.8,1,0.0
34,10260,41,7.7,16,0.25
35,10260,57,15.6,50,0.0
36,10260,62,39.4,15,0.25
37,10260,70,12.0,21,0.25
38,10261,21,8.0,20,0.0
39,10261,35,14.4,20,0.0
40,10262,5,17.0,12,0.2
41,10262,7,24.0,15,0.0
42,10262,56,30.4,2,0.0
43,10263,16,13.9,60,0.25
44,10263,24,3.6,28,0.0
45,10263,30,20.7,60,0.25
46,10263,74,8.0,36,0.25
47,10264,2,15.2,35,0.0
48,10264,41,7.7,25,0.15
49,10265,17,31.2,30,0.0
50,10265,70,12.0,20,0.0
51,10266,12,30.4,12,0.05
52,10267,40,14.7,50,0.0
53,10267,59,44.0,70,0.15
54,10267,76,14.4,15,0.15
55,10268,29,99.0,10,0.0
56,10268,72,27.8,4,0.0
57,10269,33,2.0,60,0.05
58,10269,72,27.8,20,0.05
59,10270,36,15.2,30,0.0
60,10270,43,36.8,25,0.0
61,10271,33,2.0,24,0.0
62,10272,20,64.8,6,0.0
63,10272,31,10.0,40,0.0
64,10272,72,27.8,24,0.0
65,10273,10,24.8,24,0.05
66,10273,31,10.0,15,0.05
67,10273,33,2.0,20,0.0
68,10273,40,14.7,60,0.05
69,10273,76,14.4,33,0.05
70,10274,71,17.2,20,0.0
71,10274,72,27.8,7,0.0
72,10275,24,3.6,12,0.05
73,10275,59,44.0,6,0.05
74,10276,10,24.8,15,0.0
75,10276,13,4.8,10,0.0
76,10277,28,36.4,20,0.0
77,10277,62,39.4,12,0.0
78,10278,44,15.5,16,0.0
79,10278,59,44.0,15,0.0
80,10278,63,35.1,8,0.0
81,10278,73,12.0,25,0.0
82,10279,17,31.2,15,0.25
83,10280,24,3.6,12,0.0
84,10280,55,19.2,20,0.0
85,10280,75,6.2,30,0.0
86,10281,19,7.3,1,0.0
87,10281,24,3.6,6,0.0
88,10281,35,14.4,4,0.0
89,10282,30,20.7,6,0.0
90,10282,57,15.6,2,0.0
91,10283,15,12.4,20,0.0
92,10283,19,7.3,18,0.0
93,10283,60,27.2,35,0.0
94,10283,72,27.8,3,0.0
95,10284,27,35.1,15,0.25
96,10284,44,15.5,21,0.0
97,10284,60,27.2,20,0.25
98,10284,67,11.2,5,0.25
99,10285,1,14.4,45,0.2
100,10285,40,14.7,40,0.2
101,10285,53,26.2,36,0.2
102,10286,35,14.4,100,0.0
103,10286,62,39.4,40,0.0
104,10287,16,13.9,40,0.15
105,10287,34,11.2,20,0.0
106,10287,46,9.6,15,0.15
107,10288,54,5.9,10,0.1
108,10288,68,10.0,3,0.1
109,10289,3,8.0,30,0.0
110,10289,64,26.6,9,0.0
111,10290,5,17.0,20,0.0
112,10290,29,99.0,15,0.0
113,10290,49,16.0,15,0.0
114,10290,77,10.4,10,0.0
115,10291,13,4.8,20,0.1
116,10291,44,15.5,24,0.1
117,10291,51,42.4,2,0.1
118,10292,20,64.8,20,0.0
119,10293,18,50.0,12,0.0
120,10293,24,3.6,10,0.0
121,10293,63,35.1,5,0.0
122,10293,75,6.2,6,0.0
123,10294,1,14.4,18,0.0
124,10294,17,31.2,15,0.0
125,10294,43,36.8,15,0.0
126,10294,60,27.2,21,0.0
127,10294,75,6.2,6,0.0
128,10295,56,30.4,4,0.0
129,10296,11,16.8,12,0.0
130,10296,16,13.9,30,0.0
131,10296,69,28.8,15,0.0
132,10297,39,14.4,60,0.0
133,10297,72,27.8,20,0.0
134,10298,2,15.2,40,0.0
135,10298,36,15.2,40,0.25
136,10298,59,44.0,30,0.25
137,10298,62,39.4,15,0.0
138,10299,19,7.3,15,0.0
139,10299,70,12.0,20,0.0
140,10300,66,13.6,30,0.0
141,10300,68,10.0,20,0.0
142,10301,40,14.7,10,0.0
143,10301,56,30.4,20,0.0
144,10302,17,31.2,40,0.0
145,10302,28,36.4,28,0.0
146,10302,43,36.8,12,0.0
147,10303,40,14.7,40,0.1
148,10303,65,16.8,30,0.1
149,10303,68,10.0,15,0.1
150,10304,49,16.0,30,0.0
151,10304,59,44.0,10,0.0
152,10304,71,17.2,2,0.0
153,10305,18,50.0,25,0.1
154,10305,29,99.0,25,0.1
155,10305,39,14.4,30,0.1
156,10306,30,20.7,10,0.0
157,10306,53,26.2,10,0.0
158,10306,54,5.9,5,0.0
159,10307,62,39.4,10,0.0
160,10307,68,10.0,3,0.0
161,10308,69,28.8,1,0.0
162,10308,70,12.0,5,0.0
163,10309,4,17.6,20,0.0
164,10309,6,20.0,30,0.0
165,10309,42,11.2,2,0.0
166,10309,43,36.8,20,0.0
167,10309,71,17.2,3,0.0
168,10310,16,13.9,10,0.0
169,10310,62,39.4,5,0.0
170,10311,42,11.2,6,0.0
171,10311,69,28.8,7,0.0
172,10312,28,36.4,4,0.0
173,10312,43,36.8,24,0.0
174,10312,53,26.2,20,0.0
175,10312,75,6.2,10,0.0
176,10313,36,15.2,12,0.0
177,10314,32,25.6,40,0.1
178,10314,58,10.6,30,0.1
179,10314,62,39.4,25,0.1
180,10315,34,11.2,14,0.0
181,10315,70,12.0,30,0.0
182,10316,41,7.7,10,0.0
183,10316,62,39.4,70,0.0
184,10317,1,14.4,20,0.0
185,10318,41,7.7,20,0.0
186,10318,76,14.4,6,0.0
187,10319,17,31.2,8,0.0
188,10319,28,36.4,14,0.0
189,10319,76,14.4,30,0.0
190,10320,71,17.2,30,0.0
191,10321,35,14.4,10,0.0
192,10322,52,5.6,20,0.0
193,10323,15,12.4,5,0.0
194,10323,25,11.2,4,0.0
195,10323,39,14.4,4,0.0
196,10324,16,13.9,21,0.15
197,10324,35,14.4,70,0.15
198,10324,46,9.6,30,0.0
199,10324,59,44.0,40,0.15
200,10324,63,35.1,80,0.15
201,10325,6,20.0,6,0.0
202,10325,13,4.8,12,0.0
203,10325,14,18.6,9,0.0
204,10325,31,10.0,4,0.0
205,10325,72,27.8,40,0.0
206,10326,4,17.6,24,0.0
207,10326,57,15.6,16,0.0
208,10326,75,6.2,50,0.0
209,10327,2,15.2,25,0.2
210,10327,11,16.8,50,0.2
211,10327,30,20.7,35,0.2
212,10327,58,10.6,30,0.2
213,10328,59,44.0,9,0.0
214,10328,65,16.8,40,0.0
215,10328,68,10.0,10,0.0
216,10329,19,7.3,10,0.05
217,10329,30,20.7,8,0.05
218,10329,38,210.8,20,0.05
219,10329,56,30.4,12,0.05
220,10330,26,24.9,50,0.15
221,10330,72,27.8,25,0.15
222,10331,54,5.9,15,0.0
223,10332,18,50.0,40,0.2
224,10332,42,11.2,10,0.2
225,10332,47,7.6,16,0.2
226,10333,14,18.6,10,0.0
227,10333,21,8.0,10,0.1
228,10333,71,17.2,40,0.1
229,10334,52,5.6,8,0.0
230,10334,68,10.0,10,0.0
231,10335,2,15.2,7,0.2
232,10335,31,10.0,25,0.2
233,10335,32,25.6,6,0.2
234,10335,51,42.4,48,0.2
235,10336,4,17.6,18,0.1
236,10337,23,7.2,40,0.0
237,10337,26,24.9,24,0.0
238,10337,36,15.2,20,0.0
239,10337,37,20.8,28,0.0
240,10337,72,27.8,25,0.0
241,10338,17,31.2,20,0.0
242,10338,30,20.7,15,0.0
243,10339,4,17.6,10,0.0
244,10339,17,31.2,70,0.05
245,10339,62,39.4,28,0.0
246,10340,18,50.0,20,0.05
247,10340,41,7.7,12,0.05
248,10340,43,36.8,40,0.05
249,10341,33,2.0,8,0.0
250,10341,59,44.0,9,0.15
251,10342,2,15.2,24,0.2
252,10342,31,10.0,56,0.2
253,10342,36,15.2,40,0.2
254,10342,55,19.2,40,0.2
255,10343,64,26.6,50,0.0
256,10343,68,10.0,4,0.05
257,10343,76,14.4,15,0.0
258,10344,4,17.6,35,0.0
259,10344,8,32.0,70,0.25
260,10345,8,32.0,70,0.0
261,10345,19,7.3,80,0.0
262,10345,42,11.2,9,0.0
263,10346,17,31.2,36,0.1
264,10346,56,30.4,20,0.0
265,10347,25,11.2,10,0.0
266,10347,39,14.4,50,0.15
267,10347,40,14.7,4,0.0
268,10347,75,6.2,6,0.15
269,10348,1,14.4,15,0.15
